"anio","mes","cuenta","importe","anavertical","target"
"2014","1","1","1613594.84","1.0000","3"
"2014","1","2","-754131.18","-0.4674","2"
"2014","1","3","859463.66","0.5326","2"
"2014","1","4","-49647.22","-0.0308","1"
"2014","1","5","-279131.64","-0.1730","3"
"2014","1","6","-95188.76","-0.0590","1"
"2014","1","7","-400959.63","-0.2485","2"
"2014","1","8","-139.77","-0.0001","1"
"2014","1","9","-1665.88","-0.0010","1"
"2014","1","10","24483.06","0.0152","1"
"2014","1","11","57213.82","0.0355","1"
"2014","2","1","1636746.42","1.0000","3"
"2014","2","2","-647742.99","-0.3958","1"
"2014","2","3","989003.43","0.6042","1"
"2014","2","4","-77571.68","-0.0474","1"
"2014","2","5","-238211.5","-0.1455","1"
"2014","2","6","-116924.42","-0.0714","1"
"2014","2","7","-511317.34","-0.3124","3"
"2014","2","8","-46.16","-0.0000","1"
"2014","2","9","-2472.57","-0.0015","1"
"2014","2","10","15279.21","0.0093","2"
"2014","2","11","57738.97","0.0353","1"
"2014","3","1","2010500.09","1.0000","2"
"2014","3","2","-803068.34","-0.3994","1"
"2014","3","3","1207431.75","0.6006","1"
"2014","3","4","-76823.24","-0.0382","1"
"2014","3","5","-256875.92","-0.1278","1"
"2014","3","6","-100813.52","-0.0501","1"
"2014","3","7","-500154.87","-0.2488","2"
"2014","3","8","-963.77","-0.0005","1"
"2014","3","9","-1244.51","-0.0006","1"
"2014","3","10","8206.17","0.0041","3"
"2014","3","11","278762.09","0.1387","1"
"2014","4","1","2163880.12","1.0000","2"
"2014","4","2","-950047.18","-0.4390","1"
"2014","4","3","1213832.94","0.5610","1"
"2014","4","4","-74435.95","-0.0344","1"
"2014","4","5","-307923.77","-0.1423","1"
"2014","4","6","-106861.76","-0.0494","1"
"2014","4","7","-541017.16","-0.2500","2"
"2014","4","8","-182.09","-0.0001","1"
"2014","4","9","-22718.86","-0.0105","1"
"2014","4","10","67556.44","0.0312","1"
"2014","4","11","228249.79","0.1055","1"
"2014","5","1","2199067.13","1.0000","2"
"2014","5","2","-940470.82","-0.4277","1"
"2014","5","3","1258596.31","0.5723","1"
"2014","5","4","-103939.18","-0.0473","1"
"2014","5","5","-286820.45","-0.1304","1"
"2014","5","6","-119119.24","-0.0542","1"
"2014","5","7","-596404.04","-0.2712","3"
"2014","5","8","-320.1","-0.0001","1"
"2014","5","9","-9261.03","-0.0042","1"
"2014","5","10","14569.85","0.0066","2"
"2014","5","11","157302.12","0.0715","1"
"2014","6","1","2159609.8","1.0000","2"
"2014","6","2","-896437.21","-0.4151","1"
"2014","6","3","1263172.59","0.5849","1"
"2014","6","4","-63733.32","-0.0295","1"
"2014","6","5","-349557.78","-0.1619","2"
"2014","6","6","-135892.67","-0.0629","1"
"2014","6","7","-511811.17","-0.2370","2"
"2014","6","8","-1830.16","-0.0008","1"
"2014","6","9","-12071.39","-0.0056","1"
"2014","6","10","21052.99","0.0097","2"
"2014","6","11","209329.09","0.0969","1"
"2014","7","1","2444175.83","1.0000","2"
"2014","7","2","-1176815.87","-0.4815","3"
"2014","7","3","1267359.96","0.5185","3"
"2014","7","4","-63724","-0.0261","1"
"2014","7","5","-357845.14","-0.1464","1"
"2014","7","6","-153362.04","-0.0627","1"
"2014","7","7","-618664.26","-0.2531","2"
"2014","7","8","-180.76","-0.0001","1"
"2014","7","9","-4163.81","-0.0017","1"
"2014","7","10","13856.16","0.0057","2"
"2014","7","11","83276.11","0.0341","1"
"2014","8","1","2405451.23","1.0000","2"
"2014","8","2","-1020718.07","-0.4243","1"
"2014","8","3","1384733.16","0.5757","1"
"2014","8","4","-176437.84","-0.0733","3"
"2014","8","5","-372311.07","-0.1548","2"
"2014","8","6","-139340.42","-0.0579","1"
"2014","8","7","-606400.42","-0.2521","2"
"2014","8","8","-435.98","-0.0002","1"
"2014","8","9","-6138.1","-0.0026","1"
"2014","8","10","17905.1","0.0074","2"
"2014","8","11","101574.43","0.0422","1"
"2014","9","1","2453766.38","1.0000","2"
"2014","9","2","-943524.5","-0.3845","1"
"2014","9","3","1510241.88","0.6155","1"
"2014","9","4","-121097.67","-0.0494","1"
"2014","9","5","-410068.27","-0.1671","2"
"2014","9","6","-144262.69","-0.0588","1"
"2014","9","7","-579603.99","-0.2362","2"
"2014","9","8","-60","-0.0000","1"
"2014","9","9","-15663.43","-0.0064","1"
"2014","9","10","15308.05","0.0062","2"
"2014","9","11","254793.88","0.1038","1"
"2014","10","1","2959080.86","1.0000","1"
"2014","10","2","-1361451.27","-0.4601","2"
"2014","10","3","1597629.59","0.5399","2"
"2014","10","4","-87396.05","-0.0295","1"
"2014","10","5","-450359.86","-0.1522","2"
"2014","10","6","-164618.56","-0.0556","1"
"2014","10","7","-586758.66","-0.1983","1"
"2014","10","8","-279.66","-0.0001","1"
"2014","10","9","-3240.64","-0.0011","1"
"2014","10","10","21501.04","0.0073","2"
"2014","10","11","326477.2","0.1103","1"
"2014","11","1","3169014.66","1.0000","1"
"2014","11","2","-1439399.18","-0.4542","2"
"2014","11","3","1729615.48","0.5458","2"
"2014","11","4","-100169.64","-0.0316","1"
"2014","11","5","-512615.26","-0.1618","2"
"2014","11","6","-181082.21","-0.0571","1"
"2014","11","7","-566241.61","-0.1787","1"
"2014","11","8","-233.09","-0.0001","1"
"2014","11","9","-11736.43","-0.0037","1"
"2014","11","10","37463.04","0.0118","1"
"2014","11","11","395000.28","0.1246","1"
"2014","12","1","3210582.67","1.0000","1"
"2014","12","2","-1467989.92","-0.4572","2"
"2014","12","3","1742592.75","0.5428","2"
"2014","12","4","-64515.74","-0.0201","1"
"2014","12","5","-553540.39","-0.1724","3"
"2014","12","6","-227800.91","-0.0710","1"
"2014","12","7","-673935.38","-0.2099","1"
"2014","12","8","0","0.0000","1"
"2014","12","9","-6931.24","-0.0022","1"
"2014","12","10","20052.82","0.0062","2"
"2014","12","11","235921.91","0.0735","1"
"2015","1","1","2015531.33","1.0000","2"
"2015","1","2","-887533.18","-0.4403","1"
"2015","1","3","1127998.15","0.5597","2"
"2015","1","4","-73999.66","-0.0367","1"
"2015","1","5","-347409.31","-0.1724","3"
"2015","1","6","-149072.09","-0.0740","1"
"2015","1","7","-523369.79","-0.2597","2"
"2015","1","8","-39.5","-0.0000","1"
"2015","1","9","-847.4","-0.0004","1"
"2015","1","10","29840.3","0.0148","1"
"2015","1","11","63100.7","0.0313","1"
"2015","2","1","2044772.72","1.0000","2"
"2015","2","2","-812230.09","-0.3972","1"
"2015","2","3","1232542.63","0.6028","1"
"2015","2","4","-127709.94","-0.0625","2"
"2015","2","5","-287002.95","-0.1404","1"
"2015","2","6","-140992.8","-0.0690","1"
"2015","2","7","-575231.91","-0.2813","3"
"2015","2","8","0","0.0000","1"
"2015","2","9","-10239.89","-0.0050","1"
"2015","2","10","35445.91","0.0173","1"
"2015","2","11","126811.05","0.0620","1"
"2015","3","1","2660582.72","1.0000","1"
"2015","3","2","-1144698.09","-0.4302","1"
"2015","3","3","1515884.63","0.5698","1"
"2015","3","4","-117835.12","-0.0443","1"
"2015","3","5","-445243.63","-0.1673","2"
"2015","3","6","-198947.19","-0.0748","1"
"2015","3","7","-623077.91","-0.2342","2"
"2015","3","8","0","0.0000","1"
"2015","3","9","-3070.83","-0.0012","1"
"2015","3","10","95317.92","0.0358","1"
"2015","3","11","223027.87","0.0838","1"
"2015","4","1","2787985.43","1.0000","1"
"2015","4","2","-1285804.75","-0.4612","2"
"2015","4","3","1502180.68","0.5388","2"
"2015","4","4","-94660.61","-0.0340","1"
"2015","4","5","-377596.95","-0.1354","1"
"2015","4","6","-135321.5","-0.0485","1"
"2015","4","7","-672300.84","-0.2411","2"
"2015","4","8","-535.74","-0.0002","1"
"2015","4","9","-13367.49","-0.0048","1"
"2015","4","10","-16192.2","-0.0058","3"
"2015","4","11","192205.35","0.0689","1"
"2015","5","1","2630216.03","1.0000","1"
"2015","5","2","-1310951.51","-0.4984","3"
"2015","5","3","1319264.52","0.5016","3"
"2015","5","4","-126807.99","-0.0482","1"
"2015","5","5","-370332.61","-0.1408","1"
"2015","5","6","-185762.2","-0.0706","1"
"2015","5","7","-593126.54","-0.2255","1"
"2015","5","8","-606.9","-0.0002","1"
"2015","5","9","-5319.9","-0.0020","1"
"2015","5","10","22077.13","0.0084","2"
"2015","5","11","59385.51","0.0226","2"
"2015","6","1","2616310.42","1.0000","1"
"2015","6","2","-1062113.7","-0.4060","1"
"2015","6","3","1554196.72","0.5940","1"
"2015","6","4","-74908.66","-0.0286","1"
"2015","6","5","-415397.94","-0.1588","2"
"2015","6","6","-193627.16","-0.0740","1"
"2015","6","7","-727381.78","-0.2780","3"
"2015","6","8","-10279.91","-0.0039","1"
"2015","6","9","-9600.18","-0.0037","1"
"2015","6","10","15064.98","0.0058","2"
"2015","6","11","138066.07","0.0528","1"
"2015","7","1","2891588.42","1.0000","1"
"2015","7","2","-1197364.91","-0.4141","1"
"2015","7","3","1694223.51","0.5859","1"
"2015","7","4","-141911.46","-0.0491","1"
"2015","7","5","-371953.48","-0.1286","1"
